Day,Well,Average_Area_um2,Tile_Count
1,D1,256.0300925925926,6
1,D2,291.30902777777777,6
1,D3,319.62152777777777,6
2,D1,340.19016203703706,6
2,D2,420.4862268518518,6
2,D3,397.8081018518519,6
3,D1,640.3149305555555,6
3,D2,747.4081018518518,6
3,D3,698.5065972222222,6
4,D1,839.1645833333333,6
4,D2,926.2800925925926,6
4,D3,944.4577546296296,6
5,D1,1104.3972222222221,6
5,D2,1291.5849537037038,6
5,D3,1342.8819444444446,6
6,D1,1106.7134259259258,6
6,D2,1372.938425925926,6
6,D3,1485.4199074074074,6
7,D1,1869.5555555555554,6
7,D2,1666.5842592592592,6
7,D3,1897.5684027777777,6
8,D1,2139.8690972222225,6
8,D2,2049.567129629629,6
8,D3,2433.647800925926,6
9,D1,1937.1407407407407,6
9,D2,1630.0418981481482,6
9,D3,2038.344675925926,6
10,D1,2235.578935185185,6
10,D2,2136.1214120370373,6
10,D3,2258.978125,6
11,D1,2004.4795138888892,6
11,D2,2027.449189814815,6
11,D3,2083.9935185185186,6
12,D1,2784.841087962963,6
12,D2,2574.0864583333337,6
12,D3,2747.4421296296296,6
13,D1,2738.8618055555557,6
13,D2,2739.607175925926,6
13,D3,2671.5939814814815,6
14,D1,2642.198958333333,6
14,D2,2490.6537037037037,6
14,D3,2759.501620370371,6
