Day,Mean_Cells_um2,Std_Dev_um2,Sample_Count,Std_Error_um2,CI_95_Margin_um2,CI_95_Lower_um2,CI_95_Upper_um2
1,89.00717592592594,18.100394280899952,3,10.45026751051595,20.48252432061126,68.52465160531467,109.4897002465372
2,260.8789737654321,44.44214366412415,3,25.658683607846097,50.291019871378346,210.58795389405373,311.16999363681043
3,633.5333333333333,99.90805539872196,3,57.68194267866416,113.05660765018176,520.4767256831516,746.589940983515
4,1273.5608796296297,170.79002141808172,3,98.60566484063143,193.2671030876376,1080.293776541992,1466.827982717267
5,1987.4575231481483,139.7115882691672,3,80.66252309611384,158.09854526838313,1829.3589778797648,2145.556068416532
6,1947.019328703704,44.32685483781537,3,25.59212157294217,50.16055828296665,1896.858770420737,1997.1798869866705
7,2374.284529320988,37.81028866125014,3,21.829780336710225,42.786369459952034,2331.498159861036,2417.07089878094
8,2304.237808641976,80.59442143580742,3,46.53121091114556,91.2011733858453,2213.03663525613,2395.4389820278207
9,2759.406558641976,41.54061217270086,3,23.983483620210688,47.00762789561295,2712.398930746363,2806.414186537589
10,2810.443595679013,136.6227076307185,3,78.87915702801087,154.6031477749013,2655.8404479041114,2965.0467434539137
11,2586.9239583333333,124.862081350824,3,72.08915627947519,141.29474630777136,2445.629212025562,2728.2187046411045
12,3023.571913580247,130.0005678225729,3,75.05586282716666,147.10949114124665,2876.4624224390004,3170.681404721493
13,2042.8002314814812,50.31376164625264,3,29.048663830406632,56.935381107597,1985.8648503738843,2099.7356125890783
14,2481.143904320988,182.1928536678783,3,105.18909310957564,206.17062249476825,2274.97328182622,2687.3145268157564
