Day,Well,N Tiles,Mean Cells,SD Cells,SEM Cells
1,A1,6,388.320255,162.652672,66.402675
1,A2,6,239.801852,134.928306,55.084250
1,A3,6,213.907523,227.225785,92.764538
2,A1,6,724.238079,331.343583,135.270451
2,A2,6,359.867824,182.981316,74.701809
2,A3,6,163.024537,40.550410,16.554636
3,A1,6,1380.043403,643.803852,262.831822
3,A2,6,892.530556,382.538962,156.170877
3,A3,6,453.940625,121.916192,49.772077
4,A1,6,2299.232292,753.237655,307.507985
4,A2,6,1671.906366,608.206222,248.299150
4,A3,6,1132.226389,194.404427,79.365275
5,A1,6,3243.148843,643.703117,262.790697
5,A2,6,2742.961921,533.569562,217.828861
5,A3,6,1902.071412,408.606527,166.812916
6,A1,6,3811.789931,211.857456,86.490444
6,A3,6,2717.797222,560.667652,228.891610
7,A1,6,4010.870139,130.047981,53.091866
7,A2,6,3639.355903,317.683103,129.693584
7,A3,6,3274.486227,426.182872,173.988429
8,A1,6,3992.377894,190.116767,77.614845
8,A2,6,3610.633218,180.333378,73.620793
8,A3,6,3202.530440,426.524196,174.127774
9,A1,6,4025.287500,110.760344,45.217721
9,A2,6,3884.332523,237.206239,96.839042
9,A3,6,3688.882176,330.394964,134.883179
10,A1,6,4029.721875,112.411454,45.891784
10,A2,6,3887.869907,193.873155,79.148384
10,A3,6,3735.163194,210.858126,86.082469
11,A1,6,4209.522569,135.214600,55.201129
11,A2,6,4143.812847,138.622137,56.592250
11,A3,6,4105.783681,113.673740,46.407110
12,A1,6,4107.822222,173.423682,70.799922
12,A2,6,4001.631134,119.762234,48.892727
12,A3,6,3835.134144,224.790182,91.770207
13,A1,6,4240.892593,84.490972,34.493295
13,A2,6,4240.719792,74.378229,30.364785
13,A3,6,4159.386227,114.078527,46.572364
14,A1,6,4315.735764,68.178461,27.833740
14,A2,6,4139.877199,85.803518,35.029139
14,A3,6,4131.636111,130.375040,53.225387
