Day,N Samples,Mean Area µm^2,SD Area µm^2,SEM Area µm^2
1,3,246.850309,129.601724,74.825590
2,3,386.624151,192.925164,111.385396
3,3,921.054707,418.467797,241.602495
4,3,1594.845139,689.855812,398.288439
5,3,2628.855208,641.750482,370.514813
6,3,3034.912076,263.050168,151.872085
7,3,3462.906944,367.558163,212.209804
8,3,3405.064313,313.840031,181.195627
9,3,3755.234414,201.228232,116.179174
10,3,3652.791281,187.622199,108.323727
11,3,4085.137269,94.773445,54.717474
12,3,4010.548148,102.811253,59.358105
13,3,4137.956713,105.944960,61.167351
14,3,4169.734799,138.631997,80.039221
